Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Anemometer revolutions [number],
2020/02/20 12:43:00,998.18,23.71,25.64,26.50,2.76,222,
2020/02/20 12:43:05,998.12,24.09,25.63,26.75,2.77,216,
2020/02/20 12:43:10,998.15,23.66,25.63,26.75,2.76,222,
2020/02/20 12:43:15,998.12,24.91,25.64,26.50,2.77,256,
2020/02/20 12:43:20,998.16,23.99,25.63,26.50,2.77,285,
2020/02/20 12:43:25,998.14,24.84,25.63,26.75,2.76,238,
2020/02/20 12:43:30,998.17,24.83,25.63,26.75,2.76,291,
2020/02/20 12:43:35,998.15,25.24,25.63,26.50,2.76,255,
2020/02/20 12:43:40,998.18,27.43,25.63,26.50,2.76,217,
2020/02/20 12:43:45,998.15,26.67,25.64,26.75,2.76,223,
2020/02/20 12:43:50,998.14,28.40,25.64,26.75,2.77,296,
2020/02/20 12:43:55,998.13,25.56,25.63,26.50,2.76,273,
2020/02/20 12:44:00,998.13,24.92,25.64,26.75,2.76,260,
2020/02/20 12:44:05,998.10,24.27,25.64,26.75,2.76,227,
2020/02/20 12:44:10,998.10,23.84,25.64,26.75,2.76,244,
2020/02/20 12:44:15,998.10,23.76,25.64,26.50,2.76,239,
2020/02/20 12:44:20,998.13,23.71,25.64,26.75,2.76,259,
2020/02/20 12:44:25,998.15,23.76,25.65,26.75,2.77,251,
2020/02/20 12:44:30,998.13,23.59,25.64,26.75,2.76,222,
2020/02/20 12:44:35,998.10,23.55,25.65,26.75,2.76,273,
2020/02/20 12:44:40,998.18,23.45,25.65,26.75,2.76,278,
2020/02/20 12:44:45,998.14,24.18,25.64,26.75,2.77,216,
2020/02/20 12:44:50,998.13,23.75,25.64,26.75,2.76,216,
2020/02/20 12:44:55,998.15,24.03,25.65,26.75,2.77,216,
